pdf_name,field_name,extracted,value,confidence,confidence_category,di_field_sources,false_negative,value_type
TEL006 4222600.pdf,payment_due_upon,False,,,none,,False,NoneType
TEL006 4222600.pdf,payment_method,False,,,none,,False,NoneType
TEL006 4222600.pdf,payment_terms,False,,,none,,False,NoneType
TEL006 4222600.pdf,period_end,True,2025-11-30,,none,ServiceEndDate,False,date
TEL006 4222600.pdf,period_start,True,2025-11-01,,none,ServiceStartDate,False,date
TEL006 4222600.pdf,po_number,True,PO1007427,0.947,high,PurchaseOrder,False,str
TEL006 4222600.pdf,pst_amount,False,,,none,,False,NoneType
TEL006 4222600.pdf,pst_number,False,,,none,,False,NoneType
TEL006 4222600.pdf,pst_rate,False,,,none,,False,NoneType
TEL006 4222600.pdf,qst_amount,False,,,none,,False,NoneType
TEL006 4222600.pdf,qst_number,False,,,none,,False,NoneType
TEL006 4222600.pdf,qst_rate,False,,,none,,False,NoneType
TEL006 4222600.pdf,reference_number,False,,,none,,False,NoneType
TEL006 4222600.pdf,remit_to_address,False,,0.0,none,RemittanceAddress,True,NoneType
TEL006 4222600.pdf,remit_to_name,False,,,none,,False,NoneType
TEL006 4222600.pdf,shipping_amount,False,,,none,,False,NoneType
TEL006 4222600.pdf,shipping_date,False,,,none,,False,NoneType
TEL006 4222600.pdf,standing_offer_number,False,,,none,,False,NoneType
TEL006 4222600.pdf,subtotal,True,166701.24,0.656,medium,SubTotal,False,Decimal
TEL006 4222600.pdf,tax_amount,True,20750.66,0.976,high,TotalTax,False,Decimal
TEL006 4222600.pdf,tax_breakdown,False,,,none,,False,NoneType
TEL006 4222600.pdf,tax_registration_number,False,,,none,,False,NoneType
TEL006 4222600.pdf,total_amount,True,550707.25,0.948,high,InvoiceTotal,False,Decimal
TEL006 4222600.pdf,vendor_address,False,,0.0,none,,False,NoneType
TEL006 4222600.pdf,vendor_email,False,,,none,,False,NoneType
TEL006 4222600.pdf,vendor_fax,False,,,none,,False,NoneType
TEL006 4222600.pdf,vendor_id,False,,,none,,False,NoneType
TEL006 4222600.pdf,vendor_name,True,TELUS® Business,0.71,medium,VendorName,False,str
TEL006 4222600.pdf,vendor_phone,False,,,none,,False,NoneType
TEL006 4222600.pdf,vendor_website,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,bill_to_address,False,,0.0,none,CustomerAddress,True,NoneType
ENB001 166574659065NOV2025.pdf,business_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,contract_id,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,currency,True,CAD,,none,Currency,False,str
ENB001 166574659065NOV2025.pdf,customer_email,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,customer_fax,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,customer_id,True,91 00 28 08140 4,0.881,high,CustomerId,False,str
ENB001 166574659065NOV2025.pdf,customer_name,True,CATSA,0.937,high,CustomerName,False,str
ENB001 166574659065NOV2025.pdf,customer_phone,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,delivery_date,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,deposit_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,discount_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,due_date,True,2025-12-10,0.916,high,DueDate,False,date
ENB001 166574659065NOV2025.pdf,entity,False,,,none,Entity,True,NoneType
ENB001 166574659065NOV2025.pdf,gst_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,gst_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,gst_rate,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,handling_fee,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,hst_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,hst_rate,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,invoice_date,True,2025-11-20,0.917,high,InvoiceDate,False,date
ENB001 166574659065NOV2025.pdf,invoice_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,invoice_type,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,payment_due_upon,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,payment_method,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,payment_terms,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,period_end,True,2025-11-17,,none,ServiceEndDate,False,date
ENB001 166574659065NOV2025.pdf,period_start,True,2025-10-21,,none,ServiceStartDate,False,date
ENB001 166574659065NOV2025.pdf,po_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,pst_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,pst_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,pst_rate,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,qst_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,qst_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,qst_rate,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,reference_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,remit_to_address,False,,0.0,none,RemittanceAddress,True,NoneType
ENB001 166574659065NOV2025.pdf,remit_to_name,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,shipping_amount,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,shipping_date,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,standing_offer_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,subtotal,True,486.37,0.802,high,SubTotal,False,Decimal
ENB001 166574659065NOV2025.pdf,tax_amount,True,63.22,0.932,high,TotalTax,False,Decimal
ENB001 166574659065NOV2025.pdf,tax_breakdown,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,tax_registration_number,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,total_amount,True,549.59,0.94,high,InvoiceTotal,False,Decimal
ENB001 166574659065NOV2025.pdf,vendor_address,False,,0.0,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,vendor_email,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,vendor_fax,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,vendor_id,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,vendor_name,True,ENBRIDGE,0.958,high,VendorName,False,str
ENB001 166574659065NOV2025.pdf,vendor_phone,False,,,none,,False,NoneType
ENB001 166574659065NOV2025.pdf,vendor_website,False,,,none,,False,NoneType
