pdf_name,field_name,di_extracted,di_value,di_confidence,llm_extracted,llm_value,llm_confidence,llm_source,multimodal_extracted,multimodal_value,multimodal_confidence,best_extracted
ANA005 90443097.pdf,pst_amount,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,pst_number,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,pst_rate,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,qst_amount,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,qst_number,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,qst_rate,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,reference_number,False,,,True,280208,0.9,LLM,True,280208,0.9,True
ANA005 90443097.pdf,remit_to_address,False,,0.886,True,street='P.O. Box 32026' city='New York' province=',0.85,LLM,True,street='P.O. Box 32026' city='New York' province=',0.85,True
ANA005 90443097.pdf,remit_to_name,False,,,True,Analogic Corporation,0.9,LLM,True,Analogic Corporation,0.9,True
ANA005 90443097.pdf,shipping_amount,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,shipping_date,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,standing_offer_number,False,,,True,CSO21-1719-01,0.9,LLM,True,CSO21-1719-01,0.9,True
ANA005 90443097.pdf,subtotal,True,186836.85,0.938,True,186836.85,0.938,DI,True,186836.85,0.938,True
ANA005 90443097.pdf,tax_amount,True,9341.84,0.933,True,9341.84,0.933,DI,True,9341.84,0.933,True
ANA005 90443097.pdf,tax_breakdown,False,,,False,,,,False,,,False
ANA005 90443097.pdf,tax_registration_number,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,total_amount,True,196178.69,0.945,True,196178.69,0.945,DI,True,196178.69,0.945,True
ANA005 90443097.pdf,vendor_address,False,,0.886,True,street='8 Centennial Drive' city='Peabody' provinc,0.85,LLM,True,street='8 Centennial Drive' city='Peabody' provinc,0.85,True
ANA005 90443097.pdf,vendor_email,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,vendor_fax,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,vendor_id,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,vendor_name,True,analogic,0.947,True,analogic,0.947,DI,True,analogic,0.947,True
ANA005 90443097.pdf,vendor_phone,False,,,True,+1(978)326-4000,0.9,LLM,True,+1(978)326-4000,0.9,True
ANA005 90443097.pdf,vendor_website,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,bill_to_address,False,,0.873,True,"street='1070 MORRISON DR, UNIT 7' city=None provin",0.85,LLM,True,"street='1070 MORRISON DR, UNIT 7' city=None provin",0.85,True
HYD001 5160530790NOV2025.pdf,business_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,contract_id,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,currency,True,CAD,,False,,0.8,LLM,False,,0.8,True
HYD001 5160530790NOV2025.pdf,customer_email,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,customer_fax,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,customer_id,True,51605307907507896000,0.925,True,51605307907507896000,0.925,DI,True,51605307907507896000,0.925,True
HYD001 5160530790NOV2025.pdf,customer_name,True,CATSA CANADIAN AIR TRANSPORT SECURITY AUTHORITY,0.887,True,CATSA CANADIAN AIR TRANSPORT SECURITY AUTHORITY,0.887,DI,True,CATSA CANADIAN AIR TRANSPORT SECURITY AUTHORITY,0.887,True
HYD001 5160530790NOV2025.pdf,customer_phone,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,delivery_date,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,deposit_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,discount_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,due_date,True,2025-12-18,0.938,True,2025-12-18,0.938,DI,True,2025-12-18,0.938,True
HYD001 5160530790NOV2025.pdf,entity,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,gst_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,gst_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,gst_rate,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,handling_fee,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,hst_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,hst_rate,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,invoice_date,True,2025-11-25,0.941,True,2025-11-25,0.941,DI,True,2025-11-25,0.941,True
HYD001 5160530790NOV2025.pdf,invoice_number,False,,,True,51605307907507896000,0.93,LLM,True,51605307907507896000,0.93,True
HYD001 5160530790NOV2025.pdf,invoice_type,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,payment_due_upon,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,payment_method,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,payment_terms,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,period_end,False,,,True,2025-10-31,0.9,LLM,True,2025-10-31,0.9,True
HYD001 5160530790NOV2025.pdf,period_start,False,,,True,2025-10-11,0.9,LLM,True,2025-10-11,0.9,True
HYD001 5160530790NOV2025.pdf,po_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,pst_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,pst_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,pst_rate,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,qst_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,qst_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,qst_rate,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,reference_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,remit_to_address,False,,0.626,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,remit_to_name,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,shipping_amount,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,shipping_date,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,standing_offer_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,subtotal,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,tax_amount,True,47.53,0.438,True,47.53,0.8,LLM,True,47.53,0.8,True
HYD001 5160530790NOV2025.pdf,tax_breakdown,False,,,False,,,,False,,,False
HYD001 5160530790NOV2025.pdf,tax_registration_number,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,total_amount,True,353.79,0.937,True,353.79,0.937,DI,True,353.79,0.937,True
HYD001 5160530790NOV2025.pdf,vendor_address,False,,0.714,True,"street='1070 MORRISON DR, UNIT 7' city=None provin",0.9,LLM,True,"street='1070 MORRISON DR, UNIT 7' city=None provin",0.9,True
HYD001 5160530790NOV2025.pdf,vendor_email,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,vendor_fax,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,vendor_id,False,,,False,,0.7,,False,,0.7,False
HYD001 5160530790NOV2025.pdf,vendor_name,True,HydroOttawa,0.95,True,HydroOttawa,0.95,DI,True,HydroOttawa,0.95,True
HYD001 5160530790NOV2025.pdf,vendor_phone,False,,,True,613-738-6400,0.9,LLM,True,613-738-6400,0.9,True
HYD001 5160530790NOV2025.pdf,vendor_website,False,,,True,hydroottawa.com,0.9,LLM,True,hydroottawa.com,0.9,True
TEL006 4222600.pdf,bill_to_address,False,,0.879,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,business_number,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,contract_id,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,currency,True,CAD,,False,,0.8,LLM,False,,0.8,True
TEL006 4222600.pdf,customer_email,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,customer_fax,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,customer_id,True,160-0000115624-2,0.943,True,160-0000115624-2,0.943,DI,True,160-0000115624-2,0.943,True
TEL006 4222600.pdf,customer_name,True,Canadian Air Transport Security Authority,0.891,True,Canadian Air Transport Security Authority,0.891,DI,True,Canadian Air Transport Security Authority,0.891,True
TEL006 4222600.pdf,customer_phone,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,delivery_date,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,deposit_amount,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,discount_amount,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,due_date,True,2025-11-30,0.939,True,2025-11-30,0.939,DI,True,2025-11-30,0.939,True
TEL006 4222600.pdf,entity,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,gst_amount,False,,,True,17148.91,0.9,LLM,True,17148.91,0.9,True
TEL006 4222600.pdf,gst_number,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,gst_rate,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,handling_fee,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,hst_amount,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,hst_rate,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,invoice_date,True,2025-11-01,0.938,True,2025-11-01,0.938,DI,True,2025-11-01,0.938,True
TEL006 4222600.pdf,invoice_number,True,4222600,0.95,True,4222600,0.95,DI,True,4222600,0.95,True
TEL006 4222600.pdf,invoice_type,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,payment_due_upon,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,payment_method,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,payment_terms,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,period_end,True,2025-11-30,,True,2025-11-30,0.75,LLM,True,2025-11-30,0.75,True
TEL006 4222600.pdf,period_start,True,2025-11-01,,True,2025-11-01,0.75,LLM,True,2025-11-01,0.75,True
TEL006 4222600.pdf,po_number,True,PO1007427,0.947,True,PO1007427,0.947,DI,True,PO1007427,0.947,True
TEL006 4222600.pdf,pst_amount,False,,,True,1355.58,0.9,LLM,True,1355.58,0.9,True
TEL006 4222600.pdf,pst_number,False,,,True,PST-1000-5001,0.9,LLM,True,PST-1000-5001,0.9,True
TEL006 4222600.pdf,pst_rate,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,qst_amount,False,,,True,1796.42,0.9,LLM,True,1796.42,0.9,True
TEL006 4222600.pdf,qst_number,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,qst_rate,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,reference_number,False,,,True,PO1007427,0.9,LLM,True,PO1007427,0.9,True
TEL006 4222600.pdf,remit_to_address,False,,0.879,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,remit_to_name,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,shipping_amount,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,shipping_date,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,standing_offer_number,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,subtotal,True,166701.24,0.656,True,166701.24,0.75,LLM,True,166701.24,0.75,True
TEL006 4222600.pdf,tax_amount,True,20750.66,0.976,True,20750.66,0.976,DI,True,20750.66,0.976,True
TEL006 4222600.pdf,tax_breakdown,False,,,False,,,,False,,,False
TEL006 4222600.pdf,tax_registration_number,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,total_amount,True,550707.25,0.948,True,550707.25,0.948,DI,True,550707.25,0.948,True
TEL006 4222600.pdf,vendor_address,False,,,True,street='99 Bank Street 13th Floor' city=None provi,0.9,LLM,True,street='99 Bank Street 13th Floor' city=None provi,0.9,True
TEL006 4222600.pdf,vendor_email,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,vendor_fax,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,vendor_id,False,,,False,,0.7,,False,,0.7,False
TEL006 4222600.pdf,vendor_name,True,TELUS® Business,0.71,True,TELUS® Business,0.75,LLM,True,TELUS® Business,0.75,True
TEL006 4222600.pdf,vendor_phone,False,,,True,1-877-310-6110,0.9,LLM,True,1-877-310-6110,0.9,True
TEL006 4222600.pdf,vendor_website,False,,,False,,0.7,,False,,0.7,False
